N,mu,mu_tag,p_nash,p_monopoly,old_grid_min,new_grid_min,floor_applied,old_min_profit,new_min_profit
2,0.01,m01,1.0204710004692121,1.9613782068357712,0.8860556852739894,1.0,True,-0.056972157363005316,0.0
2,0.04,m04,1.0800222635951489,1.904782288069899,0.9621994029558988,1.0,True,-0.018900298521999596,0.0
2,0.07,m07,1.1399658126956187,1.8773517887627826,1.0346249589717382,1.0346249589717382,False,0.017312470615481905,0.017312470615481905
2,0.1,m10,1.1998909524165178,1.8657465938259405,1.1047687179294574,1.1047687179294574,False,0.05238096893525787,0.05238096893525787
2,0.13,m13,1.2594555549825774,1.8649196482712225,1.172960684512771,1.172960684512771,False,0.08640576604156122,0.08640576604156122
2,0.16,m16,1.3176562850135274,1.8720316878011305,1.2384597989010127,1.2384597989010127,False,0.11872124945657157,0.11872124945657157
2,0.19,m19,1.3731215026775665,1.8852271335009751,1.2999635554170796,1.2999635554170796,False,0.14812194532198722,0.14812194532198722
2,0.22,m22,1.4249013523757543,1.9031978497721718,1.3565732813191234,1.3565732813191234,False,0.173626287943781,0.173626287943781
2,0.25,m25,1.4729375809126157,1.9249802588468707,1.4083600554934363,1.4083600554934363,False,0.19503271318375537,0.19503271318375537
2,0.28,m28,1.5175814560677876,1.9498479890383031,1.4558290942148568,1.4558290942148568,False,0.2126855675129142,0.2126855675129142
2,0.31,m31,1.5596715548084306,1.977237669527834,1.5000192527056586,1.5000192527056586,False,0.22735169759395063,0.22735169759395063
3,0.01,m01,1.0150196065343449,1.9653907549897691,0.8792522996121415,1.0,True,-0.04024923346261951,0.0
3,0.04,m04,1.0600009515718019,1.9202896921566548,0.93710256005968,1.0,True,-0.02096581331341987,0.0
3,0.07,m07,1.1049977158330344,1.9035029168392386,0.9909255442607195,1.0,True,-0.003024818026319172,0.0
3,0.1,m10,1.1499927655754778,1.9017042628619296,1.0426054088202703,1.0426054088202703,False,0.014201473861002494,0.014201473861002494
3,0.13,m13,1.1949299077053885,1.909906041726285,1.0927904599881175,1.0927904599881175,False,0.030920550775383405,0.030920550775383405
3,0.16,m16,1.2396511666777572,1.925351769904117,1.14169393764542,1.14169393764542,False,0.04715774321153405,0.04715774321153405
3,0.19,m19,1.2839146972185886,1.9462740924107975,1.1892919264768445,1.1892919264768445,False,0.06280369297864946,0.06280369297864946
3,0.22,m22,1.327473468488436,1.9714513378905718,1.2354766300024165,1.2354766300024165,False,0.07769048190722447,0.07769048190722447
3,0.25,m25,1.3701567411676894,2.0000000522209915,1.280179125302932,1.280179125302932,False,0.09167640121982487,0.09167640121982487
3,0.28,m28,1.4119143061109056,2.0312611148986166,1.323436190569804,1.323436190569804,False,0.10469727432668,0.10469727432668
3,0.31,m31,1.4527700373561099,2.064733915492443,1.3653466261937766,1.3653466261937766,False,0.1167582205861419,0.1167582205861419
5,0.01,m01,1.0125002717172575,1.9704462457852407,0.8756508468504027,1.0,True,-0.024869830629919456,0.0
5,0.04,m04,1.0500010728453593,1.939843842179179,0.9228806772262421,1.0,True,-0.015423864554745346,0.0
5,0.07,m07,1.0875043261418897,1.9365401136323412,0.9662134993575395,1.0,True,-0.0067572996073239685,0.0
5,0.1,m10,1.1249975460935773,1.947260001731434,1.007531481002455,1.007531481002455,False,0.0015062814536121562,0.0015062814536121562
